time,temperature_2m_mean,temperature_2m_min,temperature_2m_max,apparent_temperature_mean,apparent_temperature_min,apparent_temperature_max,relative_humidity_2m_mean,relative_humidity_2m_min,relative_humidity_2m_max,dewpoint_2m_mean,dewpoint_2m_min,dewpoint_2m_max,precipitation_mean,precipitation_min,precipitation_max,rain_mean,rain_min,rain_max,snowfall_mean,snowfall_min,snowfall_max,wind_speed_10m_mean,wind_speed_10m_min,wind_speed_10m_max,wind_direction_10m_mean,wind_direction_10m_min,wind_direction_10m_max,pressure_msl_mean,pressure_msl_min,pressure_msl_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,cloud_cover_mean,cloud_cover_min,cloud_cover_max,cloud_cover_low_mean,cloud_cover_low_min,cloud_cover_low_max,cloud_cover_mid_mean,cloud_cover_mid_min,cloud_cover_mid_max,cloud_cover_high_mean,cloud_cover_high_min,cloud_cover_high_max
2023-10-03,17.55,11.8,25.8,15.48,10.1,23.1,70.25,44,90,11.57,8.3,14.9,0.06,0.0,0.7,0.06,0.0,0.7,0.0,0.0,0.0,17.4,11.1,29.6,238.75,187,293,1019.05,1015.5,1028.2,966.46,964.1,974.1,51.54,0,100,11.83,0,65,16.5,0,100,46.29,0,100
2023-10-04,12.19,8.8,16.3,10.25,7.0,13.8,76.75,53,97,7.89,6.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,4.7,13.8,265.42,227,298,1028.73,1027.5,1030.0,974.68,972.9,975.9,33.21,0,100,4.46,0,18,0.54,0,13,30.0,0,100
2023-10-05,10.64,6.9,15.4,8.58,4.4,12.8,80.08,60,92,7.17,5.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,4.7,14.1,260.38,223,290,1027.27,1026.7,1028.1,973.02,971.8,973.7,79.17,3,100,3.79,0,29,47.83,0,100,76.96,3,100
2023-10-06,11.21,5.2,18.1,9.44,2.8,16.7,79.42,54,100,7.35,5.2,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,4.9,11.7,228.08,189,275,1026.95,1024.5,1028.8,972.8,971.2,974.8,58.58,0,100,25.71,0,100,11.38,0,96,43.12,0,100
2023-10-07,13.58,9.6,17.3,10.47,6.4,14.8,66.17,58,77,7.29,5.1,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,12.6,21.1,258.71,252,266,1025.09,1024.3,1025.6,971.5,970.7,972.1,49.83,1,100,0.0,0,0,37.88,0,100,20.5,0,83
2023-10-08,15.45,11.8,19.2,13.56,10.2,18.6,71.42,58,95,10.1,6.7,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34,4.4,22.9,243.58,8,311,1025.07,1023.8,1025.9,971.81,970.5,973.2,66.96,14,100,0.67,0,14,34.46,3,100,54.71,5,97
2023-10-09,15.64,11.7,19.1,13.36,10.5,16.8,66.83,53,94,9.32,7.8,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,9.2,20.0,255.46,201,277,1021.71,1020.4,1024.0,968.65,967.8,970.1,81.5,4,100,0.0,0,0,55.29,0,100,73.75,0,100
2023-10-10,15.78,12.3,21.9,14.23,10.5,20.1,66.0,42,80,9.11,7.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,5.4,10.8,253.46,226,274,1021.75,1020.8,1022.9,968.71,967.8,970.1,90.42,65,100,0.0,0,0,0.25,0,3,90.42,65,100
2023-10-11,16.68,11.7,23.7,14.87,9.2,22.1,62.5,42,74,9.18,7.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,6.5,14.0,228.83,202,270,1018.85,1017.3,1020.7,966.12,964.4,967.4,38.71,0,100,0.0,0,0,9.0,0,71,38.08,0,100
2023-10-12,16.55,14.4,20.8,15.11,12.3,19.8,70.04,53,89,10.92,8.2,13.3,0.06,0.0,0.5,0.06,0.0,0.5,0.0,0.0,0.0,11.8,7.1,17.1,241.29,217,263,1017.3,1016.2,1018.3,964.64,963.4,965.6,98.5,90,100,2.71,0,32,57.83,0,100,97.58,86,100
